timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-25 05:00:00+00:00,383.68,384.09,377.3,13043,379.44,1223209,380.97
2023-01-26 05:00:00+00:00,387.99,388.15,383.48,12242,386.52,1024840,385.99
2023-01-27 05:00:00+00:00,388.89,391.25,386.78,12096,387.02,1154808,389.29
2023-01-30 05:00:00+00:00,384.04,388.33,383.73,14100,386.07,1351155,385.56
2023-01-31 05:00:00+00:00,389.67,389.68,384.27,11911,384.51,1102712,387.26
2023-02-01 05:00:00+00:00,393.65,396.53,385.73,13663,388.33,1473487,390.41
2023-02-02 05:00:00+00:00,399.48,400.95,395.8,17426,397.68,1588666,398.42
2023-02-03 05:00:00+00:00,395.24,399.65,394.11,12938,394.51,1127556,396.48
2023-02-06 05:00:00+00:00,392.98,394.21,391.21,9927,392.85,759146,392.99
2023-02-07 05:00:00+00:00,398.06,399.25,390.86,12575,391.96,1295710,394.85
2023-02-08 05:00:00+00:00,393.7,397.37,393.0,14426,396.05,1526958,394.43
2023-02-09 05:00:00+00:00,390.29,397.39,389.09,16275,397.34,1545776,392.43
2023-02-10 05:00:00+00:00,391.12,391.53,388.28,12146,389.13,1082160,390.15
2023-02-13 05:00:00+00:00,395.65,395.86,391.34,10657,391.84,888501,394.65
2023-02-14 05:00:00+00:00,395.63,397.84,391.61,11979,394.22,1157809,395.02
2023-02-15 05:00:00+00:00,396.82,396.82,392.82,10210,393.45,821878,395.06
2023-02-16 05:00:00+00:00,391.37,395.82,391.3,11785,391.9,1163982,393.45
2023-02-17 05:00:00+00:00,390.4,390.62,387.35,13545,389.16,1227607,389.07
2023-02-21 05:00:00+00:00,382.54,387.35,382.32,15519,386.41,1516566,383.85
2023-02-22 05:00:00+00:00,382.03,384.52,380.59,12056,382.97,1170602,382.4
2023-02-23 05:00:00+00:00,384.02,385.55,379.88,11958,384.91,1399412,382.98
2023-02-24 05:00:00+00:00,380.03,380.79,377.39,12701,379.03,1237939,379.06
2023-02-27 05:00:00+00:00,381.23,384.6,380.34,9968,383.36,874279,382.23
2023-02-28 05:00:00+00:00,379.86,382.7,379.86,11621,380.84,1008867,381.2
2023-03-01 05:00:00+00:00,378.37,380.25,377.11,10160,379.01,1054008,378.62
2023-03-02 05:00:00+00:00,381.36,382.18,376.13,14689,376.43,1345473,379.03
2023-03-03 05:00:00+00:00,387.44,387.67,382.52,12460,383.16,1236338,385.87
2023-03-06 05:00:00+00:00,387.71,390.57,387.3,10766,388.36,1000217,388.76
2023-03-07 05:00:00+00:00,381.8,387.9,381.16,14966,387.67,1385511,383.42
2023-03-08 05:00:00+00:00,382.36,383.15,380.2,11698,381.92,1166923,381.59
2023-03-09 05:00:00+00:00,375.44,384.84,374.37,19689,383.19,1863803,379.02
2023-03-10 05:00:00+00:00,369.91,376.86,368.43,25055,374.79,2663479,371.75
2023-03-13 04:00:00+00:00,369.38,374.16,364.93,24736,365.97,2716899,370.3
2023-03-14 04:00:00+00:00,375.47,377.12,371.04,25291,374.32,2748577,374.37
2023-03-15 04:00:00+00:00,373.17,373.29,367.85,22171,369.75,2281311,370.78
2023-03-16 04:00:00+00:00,379.64,380.02,370.31,17071,370.97,1918071,376.64
2023-03-17 04:00:00+00:00,375.4,379.41,373.89,15988,378.36,1802218,376.0
2023-03-20 04:00:00+00:00,378.73,379.28,375.39,16081,376.07,1518151,377.78
2023-03-21 04:00:00+00:00,383.83,384.33,380.66,15047,382.27,1626744,382.37
2023-03-22 04:00:00+00:00,377.39,387.29,377.32,15557,383.69,1863383,383.55
2023-03-23 04:00:00+00:00,378.45,384.21,375.68,16149,380.17,1692167,380.3
2023-03-24 04:00:00+00:00,380.77,380.89,374.7,14095,377.02,1347657,378.22
2023-03-27 04:00:00+00:00,381.46,383.82,380.63,14312,383.1,1319918,382.02
2023-03-28 04:00:00+00:00,380.76,381.48,378.84,10882,380.81,984276,380.23
2023-03-29 04:00:00+00:00,386.18,386.44,383.68,16182,384.84,1505353,385.08
2023-03-30 04:00:00+00:00,388.4,389.08,386.6,13852,388.81,1340759,387.97
2023-03-31 04:00:00+00:00,393.92,394.21,389.33,14776,389.41,1675630,391.72
2023-04-03 04:00:00+00:00,395.5,395.85,393.04,14401,393.44,1488912,394.49
2023-04-04 04:00:00+00:00,393.28,396.37,391.89,14901,396.08,1683185,393.67
2023-04-05 04:00:00+00:00,392.25,393.19,390.58,13497,392.49,1219176,391.85
2023-04-06 04:00:00+00:00,393.78,394.02,390.38,14965,391.42,1496736,392.73
2023-04-10 04:00:00+00:00,394.22,394.22,390.66,13008,391.26,1217743,392.4
2023-04-11 04:00:00+00:00,394.23,395.64,393.52,11292,394.64,1023249,394.63
2023-04-12 04:00:00+00:00,392.64,396.61,392.07,13181,396.37,1275272,394.28
2023-04-13 04:00:00+00:00,397.8,398.22,393.3,15579,393.77,1685404,396.33
2023-04-14 04:00:00+00:00,396.93,399.42,394.61,12242,397.27,1199080,396.57
2023-04-17 04:00:00+00:00,398.32,398.32,395.58,10876,396.82,1127392,396.98
2023-04-18 04:00:00+00:00,398.58,400.03,397.21,15494,399.94,1267974,398.44
2023-04-19 04:00:00+00:00,398.63,399.4,396.65,11245,396.65,1075031,398.02
2023-04-20 04:00:00+00:00,396.29,398.08,394.79,11444,395.66,1364870,396.34
2023-04-21 04:00:00+00:00,396.61,397.09,394.76,10150,396.56,937587,396.25
2023-04-24 04:00:00+00:00,397.06,397.46,395.12,9286,396.43,1002044,396.48
2023-04-25 04:00:00+00:00,390.79,395.62,390.72,15209,395.08,1599541,392.61
2023-04-26 04:00:00+00:00,389.11,392.44,388.55,16644,391.4,1650310,390.33
2023-04-27 04:00:00+00:00,396.82,397.1,391.4,17076,391.63,1994345,394.72
2023-04-28 04:00:00+00:00,400.2,400.23,395.94,14287,395.95,1694498,398.81
2023-05-01 04:00:00+00:00,399.88,401.84,399.6,11265,399.8,1060641,400.53
2023-05-02 04:00:00+00:00,395.32,399.15,392.43,15259,399.14,1700866,395.06
2023-05-03 04:00:00+00:00,392.56,398.22,392.4,10326,395.85,1080213,395.36
2023-05-04 04:00:00+00:00,389.68,391.8,388.51,14807,391.56,1700198,390.06
2023-05-05 04:00:00+00:00,397.11,398.09,393.23,13933,393.33,1547470,396.05
2023-05-08 04:00:00+00:00,397.22,397.63,395.76,9992,397.38,926139,396.94
2023-05-09 04:00:00+00:00,395.43,396.52,395.22,9476,395.63,842492,395.8
2023-05-10 04:00:00+00:00,397.11,398.87,393.45,13850,398.26,1426892,396.36
2023-05-11 04:00:00+00:00,396.53,396.83,394.5,8951,396.42,988495,395.74
2023-05-12 04:00:00+00:00,396.08,398.02,393.67,8713,397.83,999381,395.39
2023-05-15 04:00:00+00:00,397.43,397.79,394.78,8458,396.71,813583,396.47
2023-05-16 04:00:00+00:00,394.8,397.2,394.77,9289,396.31,1008235,395.96
2023-05-17 04:00:00+00:00,399.47,400.15,395.15,12506,396.78,1343616,398.41
2023-05-18 04:00:00+00:00,403.39,403.82,399.05,10871,399.3,1147069,401.46
2023-05-19 04:00:00+00:00,402.78,404.83,401.6,10308,404.34,1158018,403.14
2023-05-22 04:00:00+00:00,402.97,404.51,401.62,8576,402.99,925017,403.32
2023-05-23 04:00:00+00:00,398.51,402.28,398.07,11175,401.35,1111986,400.12
2023-05-24 04:00:00+00:00,395.47,397.2,394.43,11157,396.85,1204304,395.52
2023-05-25 04:00:00+00:00,398.97,400.37,396.87,12651,399.09,1534315,398.59
2023-05-26 04:00:00+00:00,404.11,404.88,399.61,14236,399.66,1594225,403.47
2023-05-30 04:00:00+00:00,404.28,406.63,402.96,10500,406.1,1165756,404.68
2023-05-31 04:00:00+00:00,402.09,403.37,400.52,12847,402.48,1585308,401.93
2023-06-01 04:00:00+00:00,405.87,406.96,401.12,12564,402.42,1280781,404.82
2023-06-02 04:00:00+00:00,411.59,412.55,407.98,14856,408.56,1485046,411.11
2023-06-05 04:00:00+00:00,410.98,413.45,410.29,9298,412.06,1042292,411.92
2023-06-06 04:00:00+00:00,411.88,412.39,409.96,11370,410.57,1132909,411.4
2023-06-07 04:00:00+00:00,410.47,413.39,410.05,12433,412.29,1513065,411.21
2023-06-08 04:00:00+00:00,412.97,413.36,409.78,9324,410.47,959745,412.12
2023-06-09 04:00:00+00:00,413.76,415.69,412.7,8933,413.85,980638,414.14
2023-06-12 04:00:00+00:00,417.45,417.48,413.94,8910,414.66,872286,415.69
2023-06-13 04:00:00+00:00,420.19,420.82,418.28,12166,418.98,1434752,419.89
2023-06-14 04:00:00+00:00,420.64,422.46,417.29,9237,420.6,1154840,420.15
2023-06-15 04:00:00+00:00,425.89,427.13,419.82,13512,419.91,1762275,424.45
2023-06-16 04:00:00+00:00,424.27,427.97,423.98,10110,427.97,1108906,425.88
2023-06-20 04:00:00+00:00,422.3,423.38,420.17,11064,422.49,1191787,422.06
2023-06-21 04:00:00+00:00,419.99,422.04,419.53,8745,421.3,1178565,420.59
2023-06-22 04:00:00+00:00,421.65,421.7,418.83,8750,419.16,870482,420.43
2023-06-23 04:00:00+00:00,418.36,420.19,417.72,10825,418.17,1161180,418.71
2023-06-26 04:00:00+00:00,416.66,419.7,416.47,9720,417.86,1025359,417.87
2023-06-27 04:00:00+00:00,421.24,421.88,417.16,10174,417.62,1114166,420.25
2023-06-28 04:00:00+00:00,421.43,422.48,419.57,8053,420.23,934658,420.73
2023-06-29 04:00:00+00:00,423.17,423.29,420.74,8443,421.05,762559,422.36
2023-06-30 04:00:00+00:00,428.08,429.04,426.11,8831,426.36,1112022,428.08
2023-07-03 04:00:00+00:00,428.72,428.9,427.53,5051,427.81,370605,428.45
2023-07-05 04:00:00+00:00,428.0,428.71,426.81,7625,426.83,673063,428.15
2023-07-06 04:00:00+00:00,424.67,425.04,422.14,10275,424.38,1061407,423.66
2023-07-07 04:00:00+00:00,423.54,427.52,423.33,10432,423.64,1211901,425.56
2023-07-10 04:00:00+00:00,424.63,424.8,422.64,8434,423.22,906011,423.9
2023-07-11 04:00:00+00:00,427.38,427.81,424.44,9722,425.41,759246,426.12
2023-07-12 04:00:00+00:00,430.76,432.18,429.71,9239,431.17,1025074,431.0
2023-07-13 04:00:00+00:00,434.25,434.99,432.2,10976,432.59,1121925,433.58
2023-07-14 04:00:00+00:00,433.98,435.93,433.25,8850,435.21,827887,434.5
2023-07-17 04:00:00+00:00,435.46,436.48,433.79,7166,433.79,757125,435.2
2023-07-18 04:00:00+00:00,438.7,439.31,434.72,10919,435.14,1195584,437.67
2023-07-19 04:00:00+00:00,439.5,440.83,438.88,9248,439.67,911992,439.92
2023-07-20 04:00:00+00:00,436.81,439.53,436.04,10436,438.64,1078576,437.83
2023-07-21 04:00:00+00:00,436.75,438.62,436.73,9567,438.42,912338,437.59
2023-07-24 04:00:00+00:00,438.67,439.47,437.28,7914,437.89,745375,438.57
2023-07-25 04:00:00+00:00,439.8,441.11,438.41,9710,438.44,790450,439.91
2023-07-26 04:00:00+00:00,439.94,441.29,437.92,9096,438.97,916421,439.28
2023-07-27 04:00:00+00:00,437.04,443.74,436.15,12615,443.4,1436841,440.06
2023-07-28 04:00:00+00:00,441.3,442.14,439.57,12408,440.2,1279542,441.09
2023-07-31 04:00:00+00:00,442.17,442.46,440.49,9342,441.78,818144,441.42
2023-08-01 04:00:00+00:00,440.85,441.57,439.94,11207,440.73,1033910,440.8
2023-08-02 04:00:00+00:00,434.78,438.0,434.01,13400,437.77,1435967,435.73
